Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Lager Beer,$9.99,Unknown,Unknown,Unknown,Unknown,Unknown
Mega Boss Ipa,$15.99,16 oz one pint,Unknown,Unknown,Unknown,Unknown
Golden Ale,$4.49,330 ml,Unknown,Unknown," Water, Barley Malt, Glucose Syrup, Yeast, Hop.",Unknown
Pilsner 6pk Cans,$10.99,12 fl oz cans,Unknown,Unknown,Unknown,Unknown
Pale Ale,$1.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
Brooklyn Lager 12pk Cans,$18.99,Unknown,Unknown,Unknown,Unknown,Unknown
WLD BRY 24OZ CAN - 1,$3.99,2 servings per container,12 fl oz (355 ml),200,Unknown,Unknown
90 Minute Ipa Single,$2.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
Black Chocolate Stout 6 Pack,$14.99,12 oz,Unknown,Unknown,Unknown,Unknown
Original Lager 6pk,$11.49,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Summer Pale Ale with Lemon Peel,$15.49,Unknown,Unknown,Unknown,Unknown,Unknown
Hefe Weissbier 4pk Can,$11.49,Unknown,Unknown,Unknown,Unknown,Unknown
Crisp Apple Cider Single,$2.99,12 fl oz,12 fl oz (355 ml),190,Unknown,Unknown
Mermaid Pilsner 6pk,$12.49,72 fl oz,Unknown,Unknown,Unknown,Unknown
